Pathway identifier,Pathway name,Entities found,Entities total,Entities ratio,Entities pValue,Entities FDR,Reactions found,Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1296059,G protein gated Potassium channels,1,31,0.002041757,0.406180772,0.444844525,2,3,2.13E-04,9606,Homo sapiens,KCNJ15,,R-HSA-1013020;R-HSA-1013012
R-HSA-5601884,PIWI-interacting RNA (piRNA) biogenesis,1,31,0.002041757,0.406180772,0.444844525,4,15,0.001065492,9606,Homo sapiens,PIWIL4,,R-HSA-5629237;R-HSA-5601919;R-HSA-5601897;R-HSA-5601883
R-HSA-9620244,Long-term potentiation,1,31,0.002041757,0.406180772,0.444844525,1,7,4.97E-04,9606,Homo sapiens,SRC,,R-HSA-9612085
R-HSA-3000157,Laminin interactions,1,31,0.002041757,0.406180772,0.444844525,2,15,0.001065492,9606,Homo sapiens,HSPG2,,R-HSA-2426530;R-HSA-4084505
R-HSA-5218921,VEGFR2 mediated cell proliferation,1,31,0.002041757,0.406180772,0.444844525,1,12,8.52E-04,9606,Homo sapiens,SRC,,R-HSA-4420121
R-HSA-9025094,Biosynthesis of DPAn-3 SPMs,1,31,0.002041757,0.406180772,0.444844525,1,18,0.001278591,9606,Homo sapiens,PTGS2,,R-HSA-9026408
R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,2,83,0.00546664,0.406465009,0.444844525,2,68,0.004830232,9606,Homo sapiens,TNFRSF10C,,R-HSA-5633414;R-HSA-5633441
R-HSA-196807,Nicotinate metabolism,2,84,0.005532503,0.412278025,0.444844525,2,29,0.002059952,9606,Homo sapiens,BST1;PTGS2,,R-HSA-8870346;R-HSA-2309773
R-HSA-977606,Regulation of Complement cascade,3,139,0.009154976,0.413499057,0.444844525,5,42,0.002983378,9606,Homo sapiens,C5AR1;SERPING1,,R-HSA-9021306;R-HSA-964811;R-HSA-8852481;R-HSA-375395;R-HSA-8852266
R-HSA-8874081,MET activates PTK2 signaling,1,32,0.00210762,0.41609113,0.444844525,3,5,3.55E-04,9606,Homo sapiens,SRC,,R-HSA-8874083;R-HSA-8874082;R-HSA-8874080
R-HSA-8934593,Regulation of RUNX1 Expression and Activity,1,32,0.00210762,0.41609113,0.444844525,2,19,0.001349624,9606,Homo sapiens,SRC,,R-HSA-8937728;R-HSA-8937682
R-HSA-194138,Signaling by VEGF,3,140,0.009220839,0.417948908,0.444844525,26,86,0.006108822,9606,Homo sapiens,JUP;SRC;NCF4,,R-HSA-5218830;R-HSA-5218828;R-HSA-5218827;R-HSA-5218826;R-HSA-5218822;R-HSA-5218820;R-HSA-5218819;R-HSA-5218841;R-HSA-5218839;R-HSA-5218838;R-HSA-5218645;R-HSA-4420121;R-HSA-5218643;R-HSA-5218640;R-HSA-4420128;R-HSA-5357429;R-HSA-5218855;R-HSA-5357432;R-HSA-5218851;R-HSA-4420206;R-HSA-4420140;R-HSA-5218811;R-HSA-5357477;R-HSA-5218809;R-HSA-5357479;R-HSA-3928647
R-HSA-9664323,FCGR3A-mediated IL10 synthesis,3,141,0.009286702,0.422387799,0.444844525,3,20,0.001420656,9606,Homo sapiens,FCGR2A;SRC;FCGR1A,,R-HSA-9664275;R-HSA-9664278;R-HSA-9664261
R-HSA-216083,Integrin cell surface interactions,2,86,0.00566423,0.423818989,0.444844525,3,55,0.003906805,9606,Homo sapiens,HSPG2;ICAM1,,R-HSA-4088220;R-HSA-4088281;R-HSA-199050
R-HSA-3928663,EPHA-mediated growth cone collapse,1,33,0.002173484,0.42583673,0.444844525,3,4,2.84E-04,9606,Homo sapiens,SRC,,R-HSA-3928651;R-HSA-3928602;R-HSA-3928648
R-HSA-83936,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,1,33,0.002173484,0.42583673,0.444844525,4,16,0.001136525,9606,Homo sapiens,SLC29A2,,R-HSA-109536;R-HSA-109527;R-HSA-109529;R-HSA-109534
R-HSA-9018679,Biosynthesis of EPA-derived SPMs,1,33,0.002173484,0.42583673,0.444844525,1,17,0.001207558,9606,Homo sapiens,PTGS2,,R-HSA-9018880
R-HSA-9006115,Signaling by NTRK2 (TRKB),1,33,0.002173484,0.42583673,0.444844525,1,38,0.002699247,9606,Homo sapiens,SRC,,R-HSA-9037040
R-HSA-202733,Cell surface interactions at the vascular wall,5,257,0.016926826,0.433237537,0.444844525,7,65,0.004617133,9606,Homo sapiens,CEACAM1;FCER1G;SRC;TREM1,,R-HSA-114577;R-HSA-210291;R-HSA-202723;R-HSA-203156;R-HSA-8867135;R-HSA-8870732;R-HSA-202717
R-HSA-69202,Cyclin E associated events during G1/S transition ,2,88,0.005795956,0.435242168,0.444844525,16,20,0.001420656,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-188386;R-HSA-187552;R-HSA-187520;R-HSA-188390;R-HSA-69191;R-HSA-69195;R-HSA-69199;R-HSA-157906;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-187828;R-HSA-198613;R-HSA-8848414;R-HSA-69562;R-HSA-188350
R-HSA-8850843,Phosphate bond hydrolysis by NTPDase proteins,1,34,0.002239347,0.435420301,0.444844525,2,12,8.52E-04,9606,Homo sapiens,ENTPD1,,R-HSA-8850854;R-HSA-8850846
R-HSA-8940973,RUNX2 regulates osteoblast differentiation,1,34,0.002239347,0.435420301,0.444844525,2,24,0.001704788,9606,Homo sapiens,SRC,,R-HSA-8937820;R-HSA-8937844
R-HSA-5654732,Negative regulation of FGFR3 signaling,1,34,0.002239347,0.435420301,0.444844525,1,14,9.94E-04,9606,Homo sapiens,SRC,,R-HSA-1295609
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,6,316,0.020812751,0.438346444,0.444844525,9,44,0.003125444,9606,Homo sapiens,LILRA6;IFITM3;TYROBP;FCGR1A;TREM1;ICAM1,,R-HSA-199587;R-HSA-199043;R-HSA-5696358;R-HSA-5685602;R-HSA-5685600;R-HSA-199050;R-HSA-199583;R-HSA-6793275;R-HSA-199518
R-HSA-9663891,Selective autophagy,2,89,0.005861819,0.440908064,0.444844525,5,48,0.003409575,9606,Homo sapiens,MAP1LC3A;SRC,,R-HSA-5205663;R-HSA-8948143;R-HSA-8959571;R-HSA-8959573;R-HSA-5205649
R-HSA-5656169,Termination of translesion DNA synthesis,1,35,0.00230521,0.444844525,0.444844525,5,9,6.39E-04,9606,Homo sapiens,ISG15,,R-HSA-5653766;R-HSA-5653780;R-HSA-5653786;R-HSA-5653754;R-HSA-5653770
R-HSA-450282,MAPK targets/ Nuclear events mediated by MAP kinases,1,35,0.00230521,0.444844525,0.444844525,2,16,0.001136525,9606,Homo sapiens,FOS,,R-HSA-450292;R-HSA-450325
R-HSA-5654733,Negative regulation of FGFR4 signaling,1,35,0.00230521,0.444844525,0.444844525,1,14,9.94E-04,9606,Homo sapiens,SRC,,R-HSA-1295609
R-HSA-418990,Adherens junctions interactions,1,35,0.00230521,0.444844525,0.444844525,1,16,0.001136525,9606,Homo sapiens,JUP,,R-HSA-419002
R-HSA-9018683,Biosynthesis of DPA-derived SPMs,1,35,0.00230521,0.444844525,0.444844525,1,21,0.001491689,9606,Homo sapiens,PTGS2,,R-HSA-9026408
R-HSA-8878171,Transcriptional regulation by RUNX1,5,261,0.017190279,0.446290933,0.446290933,17,132,0.009376332,9606,Homo sapiens,SPI1;SRC;SETD1A,,R-HSA-8936616;R-HSA-8937097;R-HSA-8937037;R-HSA-8936621;R-HSA-8865505;R-HSA-8937728;R-HSA-8936481;R-HSA-8936995;R-HSA-8937016;R-HSA-8937050;R-HSA-8935740;R-HSA-8865491;R-HSA-8937682;R-HSA-8936979;R-HSA-8935731;R-HSA-8936628;R-HSA-8865498
R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,2,90,0.005927682,0.446542739,0.446542739,10,19,0.001349624,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-187552;R-HSA-187520;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-187828;R-HSA-198613;R-HSA-8848414;R-HSA-187934;R-HSA-187916
R-HSA-8878166,Transcriptional regulation by RUNX2,3,147,0.009681881,0.448767765,0.448767765,4,84,0.005966757,9606,Homo sapiens,CDKN1A;SRC,,R-HSA-9008456;R-HSA-8937820;R-HSA-9008433;R-HSA-8937844
R-HSA-2424491,DAP12 signaling,1,36,0.002371073,0.454112043,0.454112043,10,17,0.001207558,9606,Homo sapiens,TYROBP,,R-HSA-2395412;R-HSA-2424484;R-HSA-210289;R-HSA-2424486;R-HSA-2424487;R-HSA-2424480;R-HSA-2396594;R-HSA-2424482;R-HSA-2395439;R-HSA-2395801
R-HSA-456926,Thrombin signalling through proteinase activated receptors (PARs),1,36,0.002371073,0.454112043,0.454112043,5,16,0.001136525,9606,Homo sapiens,SRC,,R-HSA-418163;R-HSA-418176;R-HSA-418158;R-HSA-418170;R-HSA-418200
R-HSA-114452,Activation of BH3-only proteins,1,36,0.002371073,0.454112043,0.454112043,2,19,0.001349624,9606,Homo sapiens,MKRN3,,R-HSA-139906;R-HSA-139899
R-HSA-186763,Downstream signal transduction,1,37,0.002436936,0.463225449,0.463225449,2,16,0.001136525,9606,Homo sapiens,SRC,,R-HSA-186819;R-HSA-380780
R-HSA-195258,RHO GTPase Effectors,6,326,0.021471382,0.467710516,0.467710516,14,113,0.008026708,9606,Homo sapiens,SGO1;SRC;NCF4;MKRN3;S100A9;S100A8,,R-HSA-9626832;R-HSA-5668629;R-HSA-5218827;R-HSA-5666160;R-HSA-5666129;R-HSA-75016;R-HSA-5668605;R-HSA-5666104;R-HSA-5666169;R-HSA-9626848;R-HSA-9626880;R-HSA-9626816;R-HSA-9626817;R-HSA-5218841
R-HSA-9013407,RHOH GTPase cycle,1,38,0.002502799,0.472187297,0.472187297,1,3,2.13E-04,9606,Homo sapiens,JUP,,R-HSA-9018758
R-HSA-1296065,Inwardly rectifying K+ channels,1,38,0.002502799,0.472187297,0.472187297,2,7,4.97E-04,9606,Homo sapiens,KCNJ15,,R-HSA-1013020;R-HSA-1013012
R-HSA-1538133,G0 and Early G1,1,38,0.002502799,0.472187297,0.472187297,4,27,0.001917886,9606,Homo sapiens,CLN3,,R-HSA-1363303;R-HSA-1363314;R-HSA-1363311;R-HSA-1363306
R-HSA-2022928,HS-GAG biosynthesis,1,39,0.002568662,0.481000097,0.481000097,13,14,9.94E-04,9606,Homo sapiens,HSPG2,,R-HSA-2076383;R-HSA-2076508;R-HSA-2076371;R-HSA-2024108;R-HSA-2022860;R-HSA-2022856;R-HSA-2076392;R-HSA-2022887;R-HSA-2022919;R-HSA-2024100;R-HSA-2076419;R-HSA-2076611;R-HSA-2022851
R-HSA-5654726,Negative regulation of FGFR1 signaling,1,39,0.002568662,0.481000097,0.481000097,1,15,0.001065492,9606,Homo sapiens,SRC,,R-HSA-1295609
R-HSA-159418,Recycling of bile acids and salts,1,39,0.002568662,0.481000097,0.481000097,1,17,0.001207558,9606,Homo sapiens,LST1,,R-HSA-194083
R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,1,40,0.002634525,0.489666319,0.489666319,1,2,1.42E-04,9606,Homo sapiens,CLN3,,R-HSA-390470
R-HSA-189483,Heme degradation,1,40,0.002634525,0.489666319,0.489666319,1,22,0.001562722,9606,Homo sapiens,LST1,,R-HSA-9661397
R-HSA-388841,Costimulation by the CD28 family,2,99,0.006520451,0.495770194,0.495770194,5,35,0.002486149,9606,Homo sapiens,SRC;MAP3K8,,R-HSA-388833;R-HSA-392530;R-HSA-388829;R-HSA-389756;R-HSA-388831
R-HSA-373080,Class B/2 (Secretin family receptors),2,99,0.006520451,0.495770194,0.495770194,1,24,0.001704788,9606,Homo sapiens,FZD3,,R-HSA-201708
R-HSA-8982491,Glycogen metabolism,1,41,0.002700389,0.498188391,0.498188391,6,37,0.002628214,9606,Homo sapiens,EPM2A,,R-HSA-3781001;R-HSA-3781018;R-HSA-3781021;R-HSA-3781009;R-HSA-3780995;R-HSA-3781011
R-HSA-5673000,RAF activation,1,41,0.002700389,0.498188391,0.498188391,1,12,8.52E-04,9606,Homo sapiens,SRC,,R-HSA-5672969
R-HSA-5654727,Negative regulation of FGFR2 signaling,1,41,0.002700389,0.498188391,0.498188391,1,14,9.94E-04,9606,Homo sapiens,SRC,,R-HSA-1295609
R-HSA-392518,Signal amplification,1,41,0.002700389,0.498188391,0.498188391,1,19,0.001349624,9606,Homo sapiens,SRC,,R-HSA-418662
R-HSA-187687,Signalling to ERKs,1,42,0.002766252,0.506568702,0.506568702,2,32,0.00227305,9606,Homo sapiens,SRC,,R-HSA-171011;R-HSA-170991
R-HSA-9696273,RND1 GTPase cycle,1,43,0.002832115,0.5148096,0.5148096,1,2,1.42E-04,9606,Homo sapiens,EPSTI1,,R-HSA-9696271
R-HSA-114604,GPVI-mediated activation cascade,1,43,0.002832115,0.5148096,0.5148096,5,25,0.00177582,9606,Homo sapiens,FCER1G,,R-HSA-139842;R-HSA-453200;R-HSA-437118;R-HSA-114600;R-HSA-453183
R-HSA-8941326,RUNX2 regulates bone development,1,43,0.002832115,0.5148096,0.5148096,2,32,0.00227305,9606,Homo sapiens,SRC,,R-HSA-8937820;R-HSA-8937844
R-HSA-201556,Signaling by ALK,1,43,0.002832115,0.5148096,0.5148096,2,40,0.002841313,9606,Homo sapiens,SRC,,R-HSA-9700647;R-HSA-9700648
R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),1,43,0.002832115,0.5148096,0.5148096,3,61,0.004333002,9606,Homo sapiens,SERPING1,,R-HSA-158357;R-HSA-9650473;R-HSA-158399
R-HSA-8853659,RET signaling,1,43,0.002832115,0.5148096,0.5148096,1,24,0.001704788,9606,Homo sapiens,SRC,,R-HSA-8855747
R-HSA-69205,G1/S-Specific Transcription,1,43,0.002832115,0.5148096,0.5148096,1,28,0.001988919,9606,Homo sapiens,CLN3,,R-HSA-8961846
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,2,104,0.006849766,0.521895985,0.521895985,11,44,0.003125444,9606,Homo sapiens,TNF;TNFSF13B,,R-HSA-5668454;R-HSA-5668534;R-HSA-5676599;R-HSA-5668404;R-HSA-5676596;R-HSA-5668467;R-HSA-5668481;R-HSA-5668417;R-HSA-5668414;R-HSA-5676607;R-HSA-9714959
R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,1,44,0.002897978,0.522913396,0.522913396,4,6,4.26E-04,9606,Homo sapiens,SRC,,R-HSA-6802912;R-HSA-6802911;R-HSA-6802910;R-HSA-6803227
R-HSA-933541,TRAF6 mediated IRF7 activation,1,44,0.002897978,0.522913396,0.522913396,8,13,9.23E-04,9606,Homo sapiens,IRF7,,R-HSA-9604499;R-HSA-933533;R-HSA-933531;R-HSA-933525;R-HSA-1028820;R-HSA-933538;R-HSA-1028819;R-HSA-933536
R-HSA-9013420,RHOU GTPase cycle,1,44,0.002897978,0.522913396,0.522913396,1,4,2.84E-04,9606,Homo sapiens,SRC,,R-HSA-9726848
R-HSA-2024096,HS-GAG degradation,1,44,0.002897978,0.522913396,0.522913396,3,14,9.94E-04,9606,Homo sapiens,HSPG2,,R-HSA-1667005;R-HSA-2024084;R-HSA-1678694
R-HSA-6805567,Keratinization,4,226,0.014885069,0.526855754,0.526855754,16,34,0.002415116,9606,Homo sapiens,CSTA;KRT17;JUP;KRT23,,R-HSA-6814695;R-HSA-6806629;R-HSA-6805573;R-HSA-6814734;R-HSA-6814764;R-HSA-6805546;R-HSA-6806613;R-HSA-6810357;R-HSA-6811539;R-HSA-6814387;R-HSA-6806610;R-HSA-6809393;R-HSA-6809663;R-HSA-8942224;R-HSA-6814298;R-HSA-6810937
R-HSA-8875878,MET promotes cell motility,1,45,0.002963841,0.530882361,0.530882361,3,12,8.52E-04,9606,Homo sapiens,SRC,,R-HSA-8874083;R-HSA-8874082;R-HSA-8874080
R-HSA-74217,Purine salvage,1,45,0.002963841,0.530882361,0.530882361,1,12,8.52E-04,9606,Homo sapiens,GMPR,,R-HSA-514604
R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,2,106,0.006981492,0.532090589,0.532090589,3,15,0.001065492,9606,Homo sapiens,SPI1,,R-HSA-8865491;R-HSA-8865505;R-HSA-8865498
R-HSA-9759194,Nuclear events mediated by NFE2L2,2,106,0.006981492,0.532090589,0.532090589,2,46,0.00326751,9606,Homo sapiens,NQO1,,R-HSA-9759141;R-HSA-9759186
R-HSA-1280218,Adaptive Immune System,17,1012,0.066653494,0.535265825,0.535265825,28,265,0.018823697,9606,Homo sapiens,IFITM3;LILRA6;LAG3;SRC;NCF4;FPR1;TREM1;ICAM1;HERC5;TYROBP;MAP3K8;CLEC4E;FCGR1A;S100A9;CD101;S100A8;HERC6,,R-HSA-199043;R-HSA-2025882;R-HSA-199050;R-HSA-1236955;R-HSA-202248;R-HSA-9690461;R-HSA-8863895;R-HSA-392530;R-HSA-388829;R-HSA-1236939;R-HSA-388831;R-HSA-8856157;R-HSA-199583;R-HSA-6793275;R-HSA-199518;R-HSA-1236940;R-HSA-1236941;R-HSA-199587;R-HSA-983147;R-HSA-388833;R-HSA-983140;R-HSA-5696358;R-HSA-5685602;R-HSA-1236967;R-HSA-5685600;R-HSA-389756;R-HSA-983157;R-HSA-983156
R-HSA-5357905,Regulation of TNFR1 signaling,1,46,0.003029704,0.538718732,0.538718732,10,25,0.00177582,9606,Homo sapiens,TNF,,R-HSA-5693108;R-HSA-5357845;R-HSA-9793680;R-HSA-5634221;R-HSA-5693055;R-HSA-5357928;R-HSA-9793679;R-HSA-8863101;R-HSA-5626953;R-HSA-9796379
R-HSA-168276,NS1 Mediated Effects on Host Pathways,1,46,0.003029704,0.538718732,0.538718732,1,6,4.26E-04,9606,Homo sapiens,ISG15,,R-HSA-1176059
R-HSA-5218920,VEGFR2 mediated vascular permeability,1,46,0.003029704,0.538718732,0.538718732,1,15,0.001065492,9606,Homo sapiens,JUP,,R-HSA-5357477
R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules",2,108,0.007113219,0.542136513,0.542136513,7,40,0.002841313,9606,Homo sapiens,LST1;SLC29A2,,R-HSA-109536;R-HSA-9631987;R-HSA-194083;R-HSA-109527;R-HSA-109529;R-HSA-879575;R-HSA-109534
R-HSA-1251985,Nuclear signaling by ERBB4,1,47,0.003095567,0.546424704,0.546424704,1,34,0.002415116,9606,Homo sapiens,SRC,,R-HSA-1252013
R-HSA-451927,Interleukin-2 family signaling,1,47,0.003095567,0.546424704,0.546424704,1,59,0.004190936,9606,Homo sapiens,LGALS9,,R-HSA-5340385
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,1,48,0.003161431,0.55400244,0.55400244,5,28,0.001988919,9606,Homo sapiens,ISG15,,R-HSA-5653766;R-HSA-5653780;R-HSA-5653786;R-HSA-5653754;R-HSA-5653770
R-HSA-71240,Tryptophan catabolism,1,48,0.003161431,0.55400244,0.55400244,1,16,0.001136525,9606,Homo sapiens,KYNU,,R-HSA-71217
R-HSA-453279,Mitotic G1 phase and G1/S transition,3,174,0.011460186,0.560411091,0.560411091,29,101,0.007174315,9606,Homo sapiens,CLN3;CDKN1A;SRC,,R-HSA-187520;R-HSA-69191;R-HSA-8942607;R-HSA-69195;R-HSA-69199;R-HSA-157906;R-HSA-8941915;R-HSA-198613;R-HSA-8848414;R-HSA-8942803;R-HSA-188386;R-HSA-187552;R-HSA-188390;R-HSA-1363314;R-HSA-9018017;R-HSA-69227;R-HSA-1363303;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-187828;R-HSA-1363311;R-HSA-69562;R-HSA-188350;R-HSA-1226094;R-HSA-8942836;R-HSA-1226095;R-HSA-1363306;R-HSA-8961846
R-HSA-9656223,Signaling by RAF1 mutants,1,49,0.003227294,0.561454066,0.561454066,5,7,4.97E-04,9606,Homo sapiens,SRC,,R-HSA-9656211;R-HSA-9656209;R-HSA-9656215;R-HSA-9656214;R-HSA-9656212
R-HSA-5674135,MAP2K and MAPK activation,1,49,0.003227294,0.561454066,0.561454066,8,12,8.52E-04,9606,Homo sapiens,SRC,,R-HSA-9657603;R-HSA-5672980;R-HSA-5672978;R-HSA-9657606;R-HSA-5672972;R-HSA-5672973;R-HSA-9657608;R-HSA-9657599
R-HSA-3700989,Transcriptional Regulation by TP53,8,484,0.031877758,0.567387817,0.567387817,16,259,0.0183975,9606,Homo sapiens,CLN3;CDKN1A;TNFRSF10C;MKRN3;FOS,,R-HSA-6803875;R-HSA-5632732;R-HSA-6806412;R-HSA-6803403;R-HSA-6803892;R-HSA-5633414;R-HSA-5633441;R-HSA-6803411;R-HSA-6803890;R-HSA-5632738;R-HSA-6803871;R-HSA-69562;R-HSA-6803388;R-HSA-187934;R-HSA-6806394;R-HSA-6803801
R-HSA-991365,Activation of GABAB receptors,1,50,0.003293157,0.568781672,0.568781672,2,8,5.68E-04,9606,Homo sapiens,KCNJ15,,R-HSA-1013020;R-HSA-1013012
R-HSA-977444,GABA B receptor activation,1,50,0.003293157,0.568781672,0.568781672,2,9,6.39E-04,9606,Homo sapiens,KCNJ15,,R-HSA-1013020;R-HSA-1013012
R-HSA-165159,MTOR signalling,1,50,0.003293157,0.568781672,0.568781672,3,29,0.002059952,9606,Homo sapiens,FPR1,,R-HSA-165718;R-HSA-9679044;R-HSA-165692
R-HSA-2173789,TGF-beta receptor signaling activates SMADs,1,50,0.003293157,0.568781672,0.568781672,1,44,0.003125444,9606,Homo sapiens,FPR1,,R-HSA-170846
R-HSA-1433557,Signaling by SCF-KIT,1,51,0.00335902,0.575987313,0.575987313,19,39,0.00277028,9606,Homo sapiens,SRC,,R-HSA-1433428;R-HSA-205319;R-HSA-1433488;R-HSA-1433456;R-HSA-1562641;R-HSA-1470012;R-HSA-1470010;R-HSA-1472121;R-HSA-1470009;R-HSA-205234;R-HSA-1433542;R-HSA-205238;R-HSA-205205;R-HSA-1433506;R-HSA-1433454;R-HSA-1433451;R-HSA-1433418;R-HSA-1433514;R-HSA-205244
R-HSA-350562,Regulation of ornithine decarboxylase (ODC),1,51,0.00335902,0.575987313,0.575987313,1,4,2.84E-04,9606,Homo sapiens,NQO1,,R-HSA-350578
R-HSA-5654743,Signaling by FGFR4,1,51,0.00335902,0.575987313,0.575987313,1,41,0.002912346,9606,Homo sapiens,SRC,,R-HSA-1295609
R-HSA-3928662,EPHB-mediated forward signaling,1,52,0.003424883,0.583073013,0.583073013,5,26,0.001846853,9606,Homo sapiens,SRC,,R-HSA-3928623;R-HSA-4093336;R-HSA-3928627;R-HSA-3928583;R-HSA-3928645
R-HSA-5654741,Signaling by FGFR3,1,53,0.003490746,0.590040761,0.590040761,1,43,0.003054411,9606,Homo sapiens,SRC,,R-HSA-1295609
R-HSA-9692914,SARS-CoV-1-host interactions,2,118,0.00777185,0.590097633,0.590097633,2,48,0.003409575,9606,Homo sapiens,FPR1;MKRN3,,R-HSA-9728804;R-HSA-9727919
R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,1,54,0.003556609,0.596892511,0.596892511,5,7,4.97E-04,9606,Homo sapiens,SRC,,R-HSA-6802919;R-HSA-6802916;R-HSA-6802914;R-HSA-6803230;R-HSA-6802921
R-HSA-9649948,Signaling downstream of RAS mutants,1,54,0.003556609,0.596892511,0.596892511,5,7,4.97E-04,9606,Homo sapiens,SRC,,R-HSA-6803233;R-HSA-6802926;R-HSA-6802925;R-HSA-6802924;R-HSA-6802922
R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,1,54,0.003556609,0.596892511,0.596892511,5,7,4.97E-04,9606,Homo sapiens,SRC,,R-HSA-6802918;R-HSA-6803234;R-HSA-6802943;R-HSA-6802942;R-HSA-6802941
R-HSA-6802949,Signaling by RAS mutants,1,54,0.003556609,0.596892511,0.596892511,5,9,6.39E-04,9606,Homo sapiens,SRC,,R-HSA-6803233;R-HSA-6802926;R-HSA-6802925;R-HSA-6802924;R-HSA-6802922
R-HSA-3928665,EPH-ephrin mediated repulsion of cells,1,55,0.003622473,0.603630188,0.603630188,5,9,6.39E-04,9606,Homo sapiens,SRC,,R-HSA-4093327;R-HSA-3928607;R-HSA-3928604;R-HSA-3928642;R-HSA-3928628
R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,1,55,0.003622473,0.603630188,0.603630188,11,29,0.002059952,9606,Homo sapiens,HSPG2,,R-HSA-3560804;R-HSA-9036283;R-HSA-3656261;R-HSA-3560802;R-HSA-9036285;R-HSA-3656257;R-HSA-9036289;R-HSA-3656254;R-HSA-9036290;R-HSA-3656267;R-HSA-4420365
R-HSA-437239,Recycling pathway of L1,1,55,0.003622473,0.603630188,0.603630188,1,14,9.94E-04,9606,Homo sapiens,SRC,,R-HSA-445084
R-HSA-445989,TAK1-dependent IKK and NF-kappa-B activation  ,1,55,0.003622473,0.603630188,0.603630188,1,17,0.001207558,9606,Homo sapiens,S100A12;S100P,,R-HSA-168166
R-HSA-75893,TNF signaling,1,56,0.003688336,0.610255683,0.610255683,25,42,0.002983378,9606,Homo sapiens,TNF,,R-HSA-5357776;R-HSA-5357904;R-HSA-5357845;R-HSA-9793680;R-HSA-5357780;R-HSA-83656;R-HSA-3371385;R-HSA-83660;R-HSA-9796379;R-HSA-9793679;R-HSA-9714959;R-HSA-5626953;R-HSA-5693108;R-HSA-5693055;R-HSA-3371353;R-HSA-5357757;R-HSA-5626981;R-HSA-5626982;R-HSA-5357860;R-HSA-5634221;R-HSA-9714924;R-HSA-5357928;R-HSA-5626988;R-HSA-8863101;R-HSA-83582
R-HSA-9634597,GPER1 signaling,1,56,0.003688336,0.610255683,0.610255683,1,10,7.10E-04,9606,Homo sapiens,SRC,,R-HSA-9624014
R-HSA-8941858,Regulation of RUNX3 expression and activity,1,57,0.003754199,0.616770857,0.616770857,3,9,6.39E-04,9606,Homo sapiens,SRC,,R-HSA-8937807;R-HSA-8937792;R-HSA-8937814
R-HSA-73893,DNA Damage Bypass,1,57,0.003754199,0.616770857,0.616770857,5,34,0.002415116,9606,Homo sapiens,ISG15,,R-HSA-5653766;R-HSA-5653780;R-HSA-5653786;R-HSA-5653754;R-HSA-5653770
R-HSA-157858,Gap junction trafficking and regulation,1,57,0.003754199,0.616770857,0.616770857,3,24,0.001704788,9606,Homo sapiens,SRC,,R-HSA-191654;R-HSA-191636;R-HSA-191656
R-HSA-2871796,FCERI mediated MAPK activation,2,124,0.008167029,0.617039984,0.617039984,4,20,0.001420656,9606,Homo sapiens,FCER1G;FOS,,R-HSA-450292;R-HSA-450325;R-HSA-2730851;R-HSA-2730886
R-HSA-2219528,PI3K/AKT Signaling in Cancer,2,124,0.008167029,0.617039984,0.617039984,2,21,0.001491689,9606,Homo sapiens,CDKN1A;SRC,,R-HSA-2399969;R-HSA-2400009
R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),1,58,0.003820062,0.62317754,0.62317754,4,33,0.002344083,9606,Homo sapiens,PTGS2,,R-HSA-2309779;R-HSA-2309787;R-HSA-2314686;R-HSA-2309773
R-HSA-9748787,Azathioprine ADME,1,58,0.003820062,0.62317754,0.62317754,1,18,0.001278591,9606,Homo sapiens,SLC29A2,,R-HSA-9751024
R-HSA-8939211,ESR-mediated signaling,4,257,0.016926826,0.627788328,0.627788328,10,114,0.008097741,9606,Homo sapiens,SRC;FOS;USF1,,R-HSA-9021609;R-HSA-9009371;R-HSA-9021660;R-HSA-9021596;R-HSA-9625479;R-HSA-9023840;R-HSA-9625465;R-HSA-9009378;R-HSA-9632412;R-HSA-9023846
R-HSA-9013409,RHOJ GTPase cycle,1,59,0.003885925,0.629477531,0.629477531,1,3,2.13E-04,9606,Homo sapiens,JUP,,R-HSA-9017507
